,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
East,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Curr,AP Pre,AP High,Notes
UCF,13,0,1.000,8,0,1.000,48.2,25.3,16.90,-0.80,6,,6,
South Florida,10,2,.833,6,2,.750,38.3,23.5,7.27,-5.56,21,19,16,
Temple,7,6,.538,4,4,.500,25.1,25.8,-0.81,-1.57,,,,
Cincinnati,4,8,.333,2,6,.250,20.9,31.8,-9.59,-0.76,,,,
Connecticut,3,9,.250,2,6,.250,23.6,37.9,-12.29,-0.12,,,,
East Carolina,3,9,.250,2,6,.250,24.9,45.0,-12.37,-0.04,,,,
Memphis,10,3,.769,7,1,.875,45.5,32.5,8.52,-0.79,25,,17,
Houston,7,5,.583,5,3,.625,28.3,23.8,2.63,-0.70,,,,
Navy,7,6,.538,4,4,.500,30.5,26.3,5.69,2.69,,,25,
SMU,7,6,.538,4,4,.500,37.8,36.7,0.71,-0.76,,,,
Tulane,5,7,.417,3,5,.375,27.5,29.2,-2.24,-0.57,,,,
Tulsa,2,10,.167,1,7,.125,29.3,37.5,-7.46,0.04,,,,
