,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
East,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Marshall,10,4,.714,7,1,.875,42.1,22.9,3.07,-8.21,,,,
East Carolina,10,3,.769,6,2,.750,40.2,24.8,4.30,-7.17,,,,
Middle Tennessee State,8,5,.615,6,2,.750,29.0,26.2,-3.71,-5.63,,,,
Florida Atlantic,6,6,.500,4,4,.500,26.4,22.3,-3.53,-5.62,,,,
UAB,2,10,.167,1,7,.125,26.3,43.8,-15.82,-3.74,,,,
Florida International,1,11,.083,1,7,.125,9.8,37.0,-23.53,-5.53,,,,
Southern Mississippi,1,11,.083,1,7,.125,17.1,41.9,-21.13,-4.55,,,,
Rice,10,4,.714,7,1,.875,29.6,24.4,0.15,-4.78,,,,
North Texas,9,4,.692,6,2,.750,31.8,17.8,3.05,-6.95,,,,
UTSA,7,5,.583,6,2,.750,25.6,26.3,-3.01,-3.18,,,,
Tulane,7,6,.538,5,3,.625,24.8,21.4,-3.22,-5.22,,,,
Louisiana Tech,4,8,.333,3,5,.375,19.2,26.3,-15.66,-9.91,,,,
Tulsa,3,9,.250,2,6,.250,21.1,33.9,-11.77,-1.27,,,,
UTEP,2,10,.167,1,7,.125,21.8,39.3,-18.17,-6.50,,,,
