,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
East,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Marshall,13,1,.929,7,1,.875,45.6,21.0,12.55,-5.81,,18,23,
Middle Tennessee State,6,6,.500,5,3,.625,31.6,31.5,-3.52,-1.77,,,,
Western Kentucky,8,5,.615,4,4,.500,44.4,39.9,1.99,-3.01,,,,
Old Dominion,6,6,.500,4,4,.500,32.7,38.0,-6.10,-3.60,,,,
UAB,6,6,.500,4,4,.500,33.2,29.9,-0.30,-2.05,,,,
Florida International,4,8,.333,3,5,.375,23.0,24.8,-6.95,-4.04,,,,
Florida Atlantic,3,9,.250,2,6,.250,24.0,34.4,-9.68,-1.18,,,,
Louisiana Tech,9,5,.643,7,1,.875,37.4,24.7,5.46,-1.61,,,,
Rice,8,5,.615,5,3,.625,28.8,28.5,-0.28,-2.98,,,,
UTEP,7,6,.538,5,3,.625,26.6,28.1,-3.18,-3.64,,,,
UTSA,4,8,.333,3,5,.375,17.1,25.9,-8.62,-2.45,,,,
North Texas,4,8,.333,2,6,.250,27.2,29.8,-11.91,-5.91,,,,
Southern Mississippi,3,9,.250,1,7,.125,19.0,35.4,-10.91,0.17,,,,
