,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Appalachian State,10,3,.769,7,1,.875,29.2,17.8,8.83,-2.87,,,,
Georgia Southern,5,7,.417,4,4,.500,26.6,26.5,-4.40,-2.40,,,,
Arkansas State,8,5,.615,7,1,.875,27.3,21.5,-0.56,-5.64,,,,
Troy,10,3,.769,6,2,.750,33.7,22.1,4.10,-4.67,,25,,
Idaho,9,4,.692,6,2,.750,30.8,31.3,-1.19,-3.81,,,,
Louisiana-Lafayette,6,7,.462,5,3,.625,23.6,25.3,-6.18,-4.95,,,,
Louisiana-Monroe,4,8,.333,3,5,.375,23.3,39.1,-11.97,-2.55,,,,
South Alabama,6,7,.462,2,6,.250,25.4,27.0,-5.80,-5.26,,,,
Georgia State,3,9,.250,2,6,.250,19.9,26.6,-9.37,-3.20,,,,
New Mexico State,3,9,.250,2,6,.250,24.8,38.8,-12.88,-2.29,,,,
Texas State,2,10,.167,0,8,.000,18.6,41.1,-18.86,-3.36,,,,
