,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Oklahoma,12,2,.857,8,1,.889,45.1,27.1,19.05,5.26,3,7,2,
Texas Christian,11,3,.786,7,2,.778,33.6,19.0,14.71,3.92,9,,4,
Oklahoma State,10,3,.769,6,3,.667,45.0,29.4,13.09,3.02,14,10,6,
Iowa State,8,5,.615,5,4,.556,29.2,20.9,9.77,3.85,,,14,
Kansas State,8,5,.615,5,4,.556,32.3,25.2,5.84,1.07,,20,18,
Texas,7,6,.538,5,4,.556,29.5,21.2,8.21,3.91,,23,23,
West Virginia,7,6,.538,5,4,.556,34.5,31.5,4.84,3.07,,22,22,
Texas Tech,6,7,.462,3,6,.333,34.3,32.2,3.01,4.01,,,24,
Baylor,1,11,.083,1,8,.111,24.3,35.9,-6.47,4.12,,,,
Kansas,1,11,.083,0,9,.000,18.7,43.4,-12.35,4.23,,,,
