,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
Atlantic,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Clemson,14,1,.933,8,0,1.000,38.5,21.7,18.88,5.21,12,1,2,
Florida State,10,3,.769,6,2,.750,31.7,17.5,13.59,1.97,10,9,14,
Louisville,8,5,.615,5,3,.625,28.7,24.1,6.69,3.23,,,,
North Carolina State,7,6,.538,3,5,.375,33.2,25.8,5.06,0.83,,,,
Syracuse,4,8,.333,2,6,.250,27.3,31.0,-1.51,3.91,,,,
Wake Forest,3,9,.250,1,7,.125,17.4,24.6,-3.70,3.55,,,,
Boston College,3,9,.250,0,8,.000,17.2,15.3,-1.73,2.11,,,,
North Carolina,11,3,.786,8,0,1.000,40.7,24.5,12.73,1.09,,8,15,
Pitt,8,5,.615,6,2,.750,28.2,26.1,6.32,3.78,,23,,
Miami (FL),8,5,.615,5,3,.625,27.8,28.2,5.69,3.38,,,,
Duke,8,5,.615,4,4,.500,31.5,25.4,2.94,-0.75,,22,,
Virginia Tech,7,6,.538,4,4,.500,31.0,26.3,5.04,1.65,,,,
Virginia,4,8,.333,3,5,.375,25.8,32.2,-0.95,4.14,,,,
Georgia Tech,3,9,.250,1,7,.125,29.3,25.8,1.43,4.60,16,14,,
