,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
East,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Florida,9,4,.692,6,2,.750,23.9,16.8,10.98,4.75,25,10,14,
Georgia,8,5,.615,4,4,.500,24.5,24.0,3.64,2.57,18,9,,
Tennessee,9,4,.692,4,4,.500,36.4,28.8,10.59,4.44,9,9,22,
Kentucky,7,6,.538,4,4,.500,30.0,31.3,2.30,2.76,,,,
South Carolina,6,7,.462,3,5,.375,20.8,26.5,-0.91,2.01,,,,
Vanderbilt,6,7,.462,3,5,.375,23.0,24.0,3.21,3.06,,,,
Missouri,4,8,.333,2,6,.250,31.4,31.5,-2.50,2.58,,,,
Alabama,14,1,.933,8,0,1.000,38.8,13.0,25.62,7.29,1,1,2,
Auburn,8,5,.615,5,3,.625,31.2,17.1,11.97,5.51,,8,24,
LSU,8,4,.667,5,3,.625,28.3,15.8,15.93,5.85,5,5,13,
Texas A&M,8,5,.615,4,4,.500,34.8,24.5,8.77,3.77,,6,,
Arkansas,7,6,.538,3,5,.375,30.3,31.1,4.35,4.35,,16,,
Mississippi State,6,7,.462,3,5,.375,30.4,31.8,1.68,2.76,,,,
Ole Miss,5,7,.417,2,6,.250,32.6,34.0,4.74,5.83,11,11,,
